gsm,title,characteristics,cell_line,treatment,cell_line_matched,norm_key,Sample,Molecular Subtype,GI50
GSM1160830,OVCAR-8-(3),"['cell line: OVCAR-8', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 3']",OVCAR-8,control,OVCAR-8,OVCAR8,OVCAR-8,Epi-A,3.312e-05
GSM1160831,OVCAR-8+(1),"['cell line: OVCAR-8', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 3']",OVCAR-8,cisplatin,OVCAR-8,OVCAR8,OVCAR-8,Epi-A,3.312e-05
GSM1160832,OVCAR-8+(2),"['cell line: OVCAR-8', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 3']",OVCAR-8,cisplatin,OVCAR-8,OVCAR8,OVCAR-8,Epi-A,3.312e-05
GSM1160833,OVCAR-8+(3),"['cell line: OVCAR-8', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 3']",OVCAR-8,cisplatin,OVCAR-8,OVCAR8,OVCAR-8,Epi-A,3.312e-05
GSM1160834,M41(-),"['cell line: M41', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 5']",M41,control,M41,M41,,,
GSM1160835,M41(+),"['cell line: M41', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 5']",M41,cisplatin,M41,M41,,,
GSM1160836,A2780cisR(-),"['cell line: A2780cisR', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 4']",A2780cisR,control,A2780cisR,A2780CISR,,,
GSM1160837,A2780cisR(+),"['cell line: A2780cisR', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 4']",A2780cisR,cisplatin,A2780cisR,A2780CISR,,,
GSM1160838,ovary1847(-),"['cell line: ovary1847', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 4']",ovary1847,control,ovary1847,OVARY1847,,,
GSM1160839,ovary1847(+),"['cell line: ovary1847', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 4']",ovary1847,cisplatin,ovary1847,OVARY1847,,,
GSM1160840,Caov-2(-),"['cell line: Caov-2', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 4']",Caov-2,control,Caov-2,CAOV2,,,
GSM1160841,Caov-2(+),"['cell line: Caov-2', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 4']",Caov-2,cisplatin,Caov-2,CAOV2,,,
GSM1160842,Caov-3(-),"['cell line: Caov-3', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 4']",Caov-3,control,Caov-3,CAOV3,,,
GSM1160843,Caov-3(+),"['cell line: Caov-3', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 4']",Caov-3,cisplatin,Caov-3,CAOV3,,,
GSM1160844,Hey(-),"['cell line: Hey', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 5']",Hey,control,Hey,HEY,,,
GSM1160846,JHOS-2(-),"['cell line: JHOS-2', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 4']",JHOS-2,control,JHOS-2,JHOS2,JHOS-2,Epi-A,0.00013479
GSM1160847,JHOS-2(+),"['cell line: JHOS-2', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 4']",JHOS-2,cisplatin,JHOS-2,JHOS2,JHOS-2,Epi-A,0.00013479
