gsm,title,characteristics,cell_line,treatment,cell_line_matched,norm_key,Sample,Molecular Subtype,GI50
GSM1160766,CH1-(1),"['cell line: CH1', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 2']",CH1,control,CH1,CH1,CH1,Stem-A,1.45e-06
GSM1160767,CH1-(2),"['cell line: CH1', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 2']",CH1,control,CH1,CH1,CH1,Stem-A,1.45e-06
GSM1160768,CH1-(3),"['cell line: CH1', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 2']",CH1,control,CH1,CH1,CH1,Stem-A,1.45e-06
GSM1160769,CH1+(1),"['cell line: CH1', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 2']",CH1,cisplatin,CH1,CH1,CH1,Stem-A,1.45e-06
GSM1160770,CH1+(2),"['cell line: CH1', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 2']",CH1,cisplatin,CH1,CH1,CH1,Stem-A,1.45e-06
GSM1160771,CH1+(3),"['cell line: CH1', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 2']",CH1,cisplatin,CH1,CH1,CH1,Stem-A,1.45e-06
GSM1160772,OV90-(1),"['cell line: OV90', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 2']",OV90,control,OV90,OV90,OV90,Stem-B,7.9e-06
GSM1160773,OV90-(2),"['cell line: OV90', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 2']",OV90,control,OV90,OV90,OV90,Stem-B,7.9e-06
GSM1160774,OV90-(3),"['cell line: OV90', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 2']",OV90,control,OV90,OV90,OV90,Stem-B,7.9e-06
GSM1160775,OV90+(1),"['cell line: OV90', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 2']",OV90,cisplatin,OV90,OV90,OV90,Stem-B,7.9e-06
GSM1160776,OV90+(2),"['cell line: OV90', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 2']",OV90,cisplatin,OV90,OV90,OV90,Stem-B,7.9e-06
GSM1160777,OV90+(3),"['cell line: OV90', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 2']",OV90,cisplatin,OV90,OV90,OV90,Stem-B,7.9e-06
GSM1160778,FU-OV-1-(1),"['cell line: FU-OV-1', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 2']",FU-OV-1,control,FU-OV-1,FUOV1,FU-OV-1,Stem-A,1.141e-05
GSM1160779,FU-OV-1-(2),"['cell line: FU-OV-1', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 2']",FU-OV-1,control,FU-OV-1,FUOV1,FU-OV-1,Stem-A,1.141e-05
GSM1160780,FU-OV-1-(3),"['cell line: FU-OV-1', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 2']",FU-OV-1,control,FU-OV-1,FUOV1,FU-OV-1,Stem-A,1.141e-05
GSM1160781,FU-OV-1+(1),"['cell line: FU-OV-1', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 2']",FU-OV-1,cisplatin,FU-OV-1,FUOV1,FU-OV-1,Stem-A,1.141e-05
GSM1160782,FU-OV-1+(2),"['cell line: FU-OV-1', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 2']",FU-OV-1,cisplatin,FU-OV-1,FUOV1,FU-OV-1,Stem-A,1.141e-05
GSM1160783,FU-OV-1+(3),"['cell line: FU-OV-1', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 2']",FU-OV-1,cisplatin,FU-OV-1,FUOV1,FU-OV-1,Stem-A,1.141e-05
GSM1160784,A2008-(1),"['cell line: A2008', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 2']",A2008,control,A2008,A2008,A2008,Stem-B,4.86e-06
GSM1160785,A2008-(2),"['cell line: A2008', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 2']",A2008,control,A2008,A2008,A2008,Stem-B,4.86e-06
GSM1160786,A2008-(3),"['cell line: A2008', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 2']",A2008,control,A2008,A2008,A2008,Stem-B,4.86e-06
GSM1160787,A2008+(1),"['cell line: A2008', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 2']",A2008,cisplatin,A2008,A2008,A2008,Stem-B,4.86e-06
GSM1160788,A2008+(2),"['cell line: A2008', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 2']",A2008,cisplatin,A2008,A2008,A2008,Stem-B,4.86e-06
GSM1160789,A2008+(3),"['cell line: A2008', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 2']",A2008,cisplatin,A2008,A2008,A2008,Stem-B,4.86e-06
GSM1160790,DOV13-(1),"['cell line: DOV13', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 2']",DOV13,control,DOV13,DOV13,DOV 13,Mes,5.187e-05
GSM1160791,DOV13-(1)b,"['cell line: DOV13', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 2']",DOV13,control,DOV13,DOV13,DOV 13,Mes,5.187e-05
GSM1160792,DOV13-(2),"['cell line: DOV13', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 2']",DOV13,control,DOV13,DOV13,DOV 13,Mes,5.187e-05
GSM1160793,DOV13-(2)b,"['cell line: DOV13', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 2']",DOV13,control,DOV13,DOV13,DOV 13,Mes,5.187e-05
GSM1160794,DOV13-(3),"['cell line: DOV13', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 2']",DOV13,control,DOV13,DOV13,DOV 13,Mes,5.187e-05
GSM1160795,DOV13+(1),"['cell line: DOV13', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 2']",DOV13,cisplatin,DOV13,DOV13,DOV 13,Mes,5.187e-05
GSM1160796,DOV13+(2),"['cell line: DOV13', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 2']",DOV13,cisplatin,DOV13,DOV13,DOV 13,Mes,5.187e-05
GSM1160797,DOV13+(3),"['cell line: DOV13', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 2']",DOV13,cisplatin,DOV13,DOV13,DOV 13,Mes,5.187e-05
GSM1160798,OVCA433-(1),"['cell line: OVCA433', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 2']",OVCA433,control,OVCA433,OVCA433,OVCA 433,Epi-A,0.00020198
GSM1160799,OVCA433-(2),"['cell line: OVCA433', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 2']",OVCA433,control,OVCA433,OVCA433,OVCA 433,Epi-A,0.00020198
GSM1160800,OVCA433-(3),"['cell line: OVCA433', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 2']",OVCA433,control,OVCA433,OVCA433,OVCA 433,Epi-A,0.00020198
