gene,logFC,pval,adj_p,neg_log10_adj_p
BHLHE40,1.1885083666666656,0.0028272720911168077,0.7223490723059768,0.14125288062942037
BRWD3,-0.8991864666666665,0.0036105143123296027,0.7223490723059768,0.14125288062942037
C10orf55,0.6282069333333329,0.0028272720911168077,0.7223490723059768,0.14125288062942037
C4orf33,1.126398766666667,0.0010079762403767444,0.7223490723059768,0.14125288062942037
C6orf120,-0.6648342666666665,0.0017062493689195967,0.7223490723059768,0.14125288062942037
C8orf48,0.948823683333333,0.0022022199424970783,0.7223490723059768,0.14125288062942037
CACHD1,-1.7741668166666669,0.0028272720911168077,0.7223490723059768,0.14125288062942037
CAMK2N1,2.271664949999998,0.0022022199424970783,0.7223490723059768,0.14125288062942037
CAPN2,0.9932462166666678,0.0072845570094796615,0.7223490723059768,0.14125288062942037
CARD6,1.7627890666666657,0.009108496398030963,0.7553569094779913,0.12184779381310676
CCDC68,1.515737116666667,0.009108496398030963,0.7553569094779913,0.12184779381310676
CCDC88A,-0.8322589166666621,0.0036105143123296027,0.7223490723059768,0.14125288062942037
CCDC93,0.6921798499999987,0.009108496398030963,0.7553569094779913,0.12184779381310676
CD274,2.4009263666666665,0.0036105143123296027,0.7223490723059768,0.14125288062942037
CD58,0.9075638166666664,0.0036105143123296027,0.7223490723059768,0.14125288062942037
CD59,1.307400716666665,0.004586392080253494,0.7223490723059768,0.14125288062942037
CDCP1,2.835615683333331,0.0022022199424970783,0.7223490723059768,0.14125288062942037
CECR1,-0.6828121333333339,0.0072845570094796615,0.7223490723059768,0.14125288062942037
CECR2,-1.8562105500000001,0.004586392080253494,0.7223490723059768,0.14125288062942037
CHN2,-1.3128816666666667,0.0036105143123296027,0.7223490723059768,0.14125288062942037
CLIP4,1.8453649666666658,0.009108496398030963,0.7553569094779913,0.12184779381310676
CNGA1,1.0951529666666673,0.0028272720911168077,0.7223490723059768,0.14125288062942037
CPVL,-2.326292566666666,0.009108496398030963,0.7553569094779913,0.12184779381310676
CTNNAL1,1.002702433333333,0.0007685389131627665,0.7223490723059768,0.14125288062942037
DCBLD2,1.4533217833333332,0.004586392080253494,0.7223490723059768,0.14125288062942037
DCLK1,2.547131366666668,0.00579535854433471,0.7223490723059768,0.14125288062942037
DDX58,0.889999033333333,0.0072845570094796615,0.7223490723059768,0.14125288062942037
DDX60,1.7090037999999987,0.0028272720911168077,0.7223490723059768,0.14125288062942037
DDX60L,2.421324349999999,0.0007685389131627665,0.7223490723059768,0.14125288062942037
DLX5,-2.2889316666666657,0.0072845570094796615,0.7223490723059768,0.14125288062942037
DLX6,-0.7956548500000018,0.0072845570094796615,0.7223490723059768,0.14125288062942037
