gene,logrank_p,HR,HR_lower,HR_upper
ABHD5,0.06640719992462349,0.7590621386148313,0.5652039222093075,1.0194114153106513
ADAM22,0.6093168972874257,1.0789118710301497,0.8044707224423058,1.4469772397879412
ADAM9,0.23426101347026926,1.195408817177903,0.8899761109798148,1.6056635931647876
APOL6,0.9001365405005968,0.9811406401202452,0.7317973186679352,1.3154420372130067
ARSE,0.8889519571884272,0.9794260973894088,0.7307985278369769,1.3126401377500292
B2M,0.6047716954679754,1.0809761761559595,0.8044935449597813,1.4524783955540337
C6ORF120,0.2921013833434991,1.1701959365042347,0.873354870640514,1.567929115465678
CACHD1,0.24847218002071603,1.1891006707982938,0.8863192928146677,1.5953171918470423
CARD6,0.9049464836240393,0.9817209756302395,0.7307386175811095,1.318906720959514
CCDC88A,0.28133167247521706,1.1741609825191968,0.8763128776925708,1.5732440409875008
CTNNAL1,0.46826498570837427,0.896981069328978,0.6684883817842457,1.2035737054802444
DLX5,0.024446767304811066,1.4018327016183856,1.0427725456307846,1.8845288280369619
DLX6,0.5871095849908186,1.0848135097403093,0.8086611627252344,1.4552700255186437
DTX3L,0.7444850737826388,1.0497970548236488,0.7820448545179555,1.4092207754447976
DUSP10,0.07329208612784023,0.7636407775850846,0.5683764625946234,1.0259876605880214
DYNLT3,0.09740047645437265,1.2806102397855006,0.9547918016762059,1.7176127647560488
EDIL3,0.5275852401472687,1.0986547975423346,0.8200336501243165,1.4719424794089868
ENTPD1,0.2401096575741286,1.1913123061539672,0.8886294973031486,1.5970941940381331
GBP1,0.11018388667950373,0.7876932031405413,0.5876626221509563,1.0558108664505546
GBP3,0.8235894664538274,0.9671211950461187,0.7211722255177301,1.2969487354230307
GDPD1,0.6254319253459131,1.075600037973011,0.8025809642445009,1.4414937473337535
GLIPR1,0.7275599653936261,1.0532489065384034,0.7855282316819814,1.4122130999022484
GSTA4,0.4629674274293376,0.8960587469710289,0.6681740780868253,1.2016648121433942
HCFC2,0.03878012495871038,1.3622641734865535,1.0148497671883876,1.8286092566255825
HLA-DMB,0.60370340595447,0.9248721164181529,0.6895269823706479,1.2405438127843826
IRF2,0.5176879464717551,0.9078642049904442,0.6773211166989349,1.2168783674129724
LACTB,0.5227151413275477,1.1001441277712878,0.8206200944136472,1.4748811418448728
LAMA1,0.708730344174792,1.0575238037521042,0.788305946651586,1.418683444229564
LTBP1,0.6356188111805637,1.0731315612994428,0.8009744336965341,1.437762929014151
MAP3K15,0.39317170398950463,0.8802413011863227,0.6566614981320347,1.1799454521367367
MBOAT2,0.29842753374687225,1.1682473715616999,0.8710910513077386,1.566772978682184
NCALD,0.7215153310746711,0.9478288314825264,0.7062072942409982,1.2721186840119967
NIPSNAP3A,0.11344803377087694,0.7890955877603119,0.5876724899526268,1.0595558874518467
NMI,0.4176117854229433,0.8858216607217823,0.6603407006400023,1.1882956992403837
OAS1,0.29169450745026165,0.8545404627659916,0.6376111582751257,1.1452738758207563
PALLD,0.6308985821507765,1.0738105413442294,0.8015286958842305,1.4385873950900088
PITPNC1,0.2872825276811554,0.852396244358184,0.6347739829457908,1.1446268702193898
PLEKHA2,0.9714128586063927,1.005354533899646,0.7493000186146291,1.3489092669466547
POMP,0.3773199670639006,1.1414666551856028,0.8511934417751184,1.5307285758492024
PPP1R1A,0.9812975008424384,0.9965989238102937,0.7430553897594254,1.3366559594721479
PSMB8,0.22823554266916649,0.8344801924777041,0.6215276338500861,1.1203961878959496
RSAD2,0.28553262128757634,0.8526234491213804,0.635911557017191,1.1431884480941845
SAMD9L,0.7503001650911585,0.9532604303221709,0.7111132406841563,1.2778632094429185
SCEL,0.06157091501476449,1.3224112339373928,0.9854185468730079,1.7746484244620009
SH2D4A,0.8172676095815654,1.0346042560301394,0.7710526158404981,1.3882398484944707
SIRT1,0.6004152735392299,1.0817683227545971,0.8055517540539768,1.4526971088152856
SLC2A13,0.6914236411159764,1.0611159018975524,0.7911046748522356,1.4232844186771707
SP110,0.2134278169115102,0.8303787083865868,0.6193520300053731,1.113306755991087
STRA6,0.2728301205184338,1.1787926464447682,0.8788234667769382,1.581150431051194
TBC1D19,0.325676610201585,1.158906699987408,0.8634295346063904,1.555500113727247
TGFBI,0.6347890695735968,1.0735896195015162,0.800699896136383,1.4394839772841548
THOC7,0.4385986343786731,0.8907148133695775,0.6638393129840418,1.1951278920039998
TIMP2,0.3261249437960394,1.1577216422435044,0.8634634577361647,1.5522595529787178
